1/1 test "expNnWindowed"... [default] (debug): i=3, yi=47549
[default] (debug): j=44, z=6301087401744590696589228556265760184156090522448201146850856530509964924369616362514036257501669645617362691031990302131393469811657128620598559873062765331891334810191335483784532269320235679442199671490238975757054512118256275566403007621308509867598433001943527210945543320708282473390978423388830679611589799720273229203300911469520511743928910960845736312441653391236919164514952672822252224913382383583463515352813747225878926826892252219262487260109625335730789934294240444032541145807903336035477522725238972760066138748322297315866999584911812223584233948969474945543262246681236378632008555441368340743834, zz=32203
[default] (debug): j=48, z=6976207458808257952531448529695892860967294465891173055234195847582777029170595246179746260470523564052828658540284633391299064871406963382399681932115900804087586481712305062554885575497924816900241158510154893703226145337111082315909445113946728165397784910122625938399053004799482773671978795859782649370528952988779925541615666809936504780556393015775644871016528882922825426494935848012935561137643088384674438932762432509529116722858668955720221640652237965552987145076543004239755219259479743927406316746923720646345697973450529175455718494104058462022176785385162707619309620606801446062362248067362533734714, zz=123
[default] (debug): j=52, z=21712466830254597580019486026490098135403035932284406869278759355564774853522849576356745887259249039847554521938226180953476688502896945159246959973076545778133013603951964987983589202130331441854798043492059765958257071660123272079110498851614402952908691620223077872333223016288930690441206769275123497736918130572454653545328747971602081963959232017803940847189615264393240432090638729079690728295456899697447553321437185109448700664215356775892817148806792874402488009248644179760695046569991376692805869863448802518991482731311473419085747089672646912338061907028639254058368736140648234427671089843843276891824, zz=0
[default] (debug): j=56, z=2317961418701865590302872099262976810061747533093436905824842598388422439195852020676966808426490635768290926268896984487136583429658840006458802356855629837328034461075968033346154307999621535001759719511524870326811421325055201340715492559988258901472386501848459268338470862245727162363280476534223336456461665418215521162131314892254274188402398395407448524105944967183331161429772949211950150087479269953262173623741830662017265863743477181578482287295857018400578287605663136901988563657506589455912558799634406293233798560486902345178507603749159395457629007605648754984885422979043319354264465207127550859518, zz=521
[default] (debug): j=60, z=17240446474387226156119548574617762417149409396862289874001395383466996497690673157635679142498430914887825136304710315607810698378375836291684281747220683992470936468509671323012527987947004139599154832010100743600533259977828688271039039360802734294566207765304592971569154146875425140337662745984529693647707595389018616432250266439105122736616776262916704796024901442750732446701826691459573597636994019666784418076068199308016374508144562142935217060694008236115822685005353659163068387507813623243299046070557303468685822925892074734775372756536246762890553861474248893835389649555140941620433144944816319921914, zz=2075
[default] (debug): i=5, yi=3071730331420287375
[default] (debug): j=0, z=5764804923509013149752301162992362437679434636137688029810913972279704527110095199328110009985915406354452286682234983864027860829904040892202808223287856404390852435815218293218651872362092817961302548221671351858477118648097735021080233229263499187075561574015548499447231609926371690214223592292374760478845059508313353588917528609457473102662835989946492512965776356717518406323366873178402509140625428213945540752915556790473076840638872817400060082327201904421953100063879084914399200863475059625329091159457343894978910861355462916708624588600279481730724857385920028305722568105185036462748953129078716026034, zz=95
[default] (debug): j=4, z=3263763202038651552327259519323045225321265688273815829101105595000484076864459685851031455425769954780849881291966277623538664745936959689966676967862819386076181663055497253496264947950291511216352002528501772610274872995258039429923816571087020108307384897182100581999768595639905544696496829903167579615267106730214268194684536937886342114331778390609195500402195318188867382356870969227635676152962037848757483669195913242947268043153489138239121258268885017334243605110077041472736564318547734265388698717971835087203999965072535076186238334631018750694271702796115010360868206273037965047134527337767007709368, zz=0
[default] (debug): j=8, z=8774071875479319666019128263243120479353201002506929257898527993910085596173099789849525208930161294313894707952055660571104060963383759048394031190836106860346593869751467912941679596719371809598609341557946993040603452571400946092127932233697492513483556247425653653175428423654855814854870960366308211526510953643992670476486409609229852440360123470220720884782487275492021861980069100800509484557261185063095848920512150840340317467321189305954492472268801960681050805762908721993188939411192356224150331392318705320001891927326528306986712505056000976409163299417988807164712271072703564773277100457717817186308, zz=750
[default] (debug): j=12, z=1730044656441940729783167575547198648025096068623987217687216226939161370249861086087329663413611463286797455709015603185493322108259650885384057020957574045535762775462980855308454092849354584928628296497868006410557094863377886306389368456539113030062407620169940920628152561082645366244530925028302763728523798984246340025456319425963810187014937002826074098379530920123428973271801985670494722622843501536718800565157891640768124431401868537411476540339054713907266646348886515569452381715485539743831400182972661938781057759261043812798952790447997828971685001719882409152018996846947978072568090591036168364224, zz=160
